run_id,scenario,budget,actual_poison_fraction,poison_survival_rate,enrichment,selected_poison_fraction,refusal_rate,mmlu
joined_01,amrs_mixed_anchor_r010,top15,0.09090909090909091,0.818,5.453333333333333,0.49575757575757573,0.28,72.59649622560889
joined_02,amrs_mixed_anchor_r005,top15,0.047619047619047616,0.9,5.996192893401015,0.28553299492385786,0.08,72.92408488819257
joined_03,amrs_mixed_anchor_r010,top30,0.09090909090909091,0.976,3.2533333333333334,0.2957575757575758,0.08,72.46830935764136
joined_04,autopoison_r010,top15,0.09090909090909091,0.232,1.5466666666666664,0.1406060606060606,0.075,72.95257085885201
joined_05,amrs_mixed_anchor_r005,top30,0.047619047619047616,0.98,3.266666666666667,0.15555555555555556,0.035,72.4611878649765
joined_06,autopoison_r005,top15,0.047619047619047616,0.224,1.4923857868020307,0.07106598984771574,0.03,72.81726249821962
joined_07,autopoison_r001,top15,0.009900990099009901,0.24,1.5989445910290239,0.0158311345646438,0.01,73.0522717561601
joined_08,handcraft_r005,top5,0.047619047619047616,0.012,0.24045801526717558,0.011450381679389313,0.01,73.23743056544652
joined_09,normal_rewrite_r010,top15,0.09090909090909091,0.534,3.5599999999999996,0.3236363636363636,0.005,73.10924369747899
joined_10,handcraft_r005,top15,0.047619047619047616,0.064,0.4263959390862944,0.02030456852791878,0.005,73.04515026349523
joined_11,handcraft_r001,top15,0.009900990099009901,0.06,0.39973614775725597,0.00395778364116095,0.005,72.95969235151688
joined_12,normal_rewrite_r005,top15,0.047619047619047616,0.544,3.6243654822335025,0.17258883248730963,0.0,72.84574846887908
joined_13,autopoison_r001,top5,0.009900990099009901,0.04,0.8015873015873015,0.007936507936507936,0.0,73.47243982338698
joined_14,autopoison_r005,top5,0.047619047619047616,0.04,0.801526717557252,0.03816793893129771,0.0,73.48668280871671
joined_15,clean,top5,0.0,0.0,,0.0,0.0,73.37273892607891
joined_16,clean,top15,0.0,0.0,,0.0,0.0,73.17333713146276
joined_17,handcraft_r001,top5,0.009900990099009901,0.0,0.0,0.0,0.0,73.41546788206809
